CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12430.0,0,1,256.4,5,1,2,Regular
12431.0,338,15,6487.45,1,5,5,At Risk
12432.0,130,5,5059.32,3,4,5,Regular
12433.0,373,7,13375.87,1,5,5,At Risk
12434.0,176,2,806.14,2,2,3,Regular
12435.0,188,2,7829.89,2,2,5,Regular
12436.0,0,1,509.01,5,1,3,Regular
12437.0,330,18,4951.41,1,5,5,At Risk
12438.0,126,2,2906.85,3,2,5,Regular
12441.0,0,1,173.55,5,1,1,Regular
12442.0,0,1,172.06,5,1,1,Regular
12444.0,150,5,5005.46,3,4,5,Regular
12445.0,0,1,133.4,5,1,1,Regular
12446.0,0,1,1002.3100000000001,5,1,4,Regular
12447.0,0,1,476.49,5,1,2,Regular
12448.0,0,1,449.45,5,1,2,Regular
12449.0,165,4,4067.29,2,4,5,At Risk
12450.0,17,2,197.88,4,2,1,Regular
12451.0,314,5,9035.52,1,4,5,At Risk
12452.0,0,2,430.57,5,2,2,Regular
12453.0,0,1,707.09,5,1,3,Regular
12454.0,0,1,3528.34,5,1,5,Regular
12455.0,223,6,2466.86,2,4,5,At Risk
12456.0,210,3,3181.04,2,3,5,At Risk
12457.0,173,7,2363.23,2,5,5,At Risk
12458.0,213,2,947.4,2,2,4,Regular
12461.0,60,2,826.88,3,2,3,Regular
12462.0,285,2,1189.59,1,2,4,Regular
12463.0,188,4,1344.78,2,4,4,At Risk
12464.0,299,8,1212.05,1,5,4,At Risk
12465.0,152,2,742.19,3,2,3,Regular
12468.0,129,2,729.5400000000001,3,2,3,Regular
12471.0,362,30,19824.05,1,5,5,At Risk
12472.0,337,7,6572.11,1,5,5,At Risk
12473.0,162,5,3938.55,3,4,5,Regular
12474.0,312,18,7375.79,1,5,5,At Risk
12475.0,0,1,723.38,5,1,3,Regular
12476.0,346,11,6816.42,1,5,5,At Risk
12477.0,279,6,13219.74,1,4,5,At Risk
12478.0,0,1,680.99,5,1,3,Regular
12479.0,0,1,527.2,5,1,3,Regular
12480.0,308,4,3281.63,1,4,5,At Risk
12481.0,343,10,5596.32,1,5,5,At Risk
12483.0,322,8,2484.98,1,5,5,At Risk
12484.0,304,6,4541.72,1,4,5,At Risk
12488.0,66,3,1298.66,3,3,4,Regular
12489.0,0,1,334.93,5,1,2,Regular
12490.0,324,10,5417.93,1,5,5,At Risk
12491.0,0,1,460.40000000000003,5,1,2,Regular
12492.0,42,2,263.21000000000004,3,2,2,Regular
12493.0,32,2,433.74,3,2,2,Regular
12494.0,350,7,1246.1,1,5,4,At Risk
12497.0,0,1,1043.1,5,1,4,Regular
12498.0,36,3,403.70000000000005,3,3,2,Regular
12500.0,310,11,4257.82,1,5,5,At Risk
12501.0,0,1,2169.39,5,1,5,Regular
12502.0,214,5,3723.87,2,4,5,At Risk
12504.0,12,2,482.04999999999995,4,2,2,Regular
12506.0,0,1,73.5,5,1,1,Regular
12507.0,164,3,1304.81,3,3,4,Regular
12508.0,3,2,398.27,4,2,2,Regular
12509.0,0,1,176.5,5,1,1,Regular
12510.0,183,2,982.5699999999999,2,2,4,Regular
12512.0,0,2,138.03,5,2,1,Regular
12513.0,0,1,612.29,5,1,3,Regular
12514.0,0,1,1017.6800000000001,5,1,4,Regular
12515.0,0,1,383.7,5,1,2,Regular
12516.0,103,2,1312.06,3,2,4,Regular
12517.0,162,5,2502.84,3,4,5,Regular
12518.0,110,5,2056.89,3,4,4,Regular
12519.0,0,1,340.84000000000003,5,1,2,Regular
12520.0,194,5,2634.26,2,4,5,At Risk
12521.0,0,1,599.68,5,1,3,Regular
12522.0,12,2,192.72,4,2,1,Regular
12523.0,312,11,1789.77,1,5,4,At Risk
12524.0,324,8,4485.72,1,5,5,At Risk
12526.0,94,3,1316.66,3,3,4,Regular
12527.0,244,3,348.71000000000004,2,3,2,At Risk
12528.0,303,6,1933.48,1,5,4,At Risk
12530.0,277,4,1662.28,2,4,4,At Risk
12531.0,0,1,125.22,5,1,1,Regular
12532.0,0,1,349.83000000000004,5,1,2,Regular
12534.0,0,1,1089.18,5,1,4,Regular
12535.0,95,2,716.35,3,2,3,Regular
12536.0,16,3,12601.830000000002,4,3,5,Loyal
12538.0,0,1,363.95,5,1,2,Regular
12539.0,311,4,5568.35,1,4,5,At Risk
12540.0,342,17,13400.24,1,5,5,At Risk
12541.0,251,3,981.18,2,3,4,At Risk
12544.0,0,1,372.7,5,1,2,Regular
12545.0,184,2,1000.39,2,2,4,Regular
12546.0,31,2,1161.5,3,2,4,Regular
12547.0,83,2,207.8,3,2,1,Regular
12548.0,0,1,95.19999999999999,5,1,1,Regular
12550.0,0,1,964.83,5,1,4,Regular
12551.0,0,1,168.0,5,1,1,Regular
12552.0,1,2,437.82,4,2,2,Regular
12553.0,321,10,3692.28,1,5,5,At Risk
12556.0,101,2,603.71,3,2,3,Regular
12557.0,355,5,11990.960000000001,1,4,5,At Risk
12558.0,0,1,269.96,5,1,2,Regular
12559.0,9,2,561.71,4,2,3,Regular
12560.0,138,3,2134.01,3,3,5,Regular
12561.0,0,1,238.85,5,1,1,Regular
12562.0,190,7,3781.7400000000002,2,5,5,At Risk
12564.0,0,1,456.90000000000003,5,1,2,Regular
12565.0,0,1,145.92000000000002,5,1,1,Regular
12566.0,0,1,351.65,5,1,2,Regular
12567.0,347,10,9401.28,1,5,5,At Risk
12569.0,250,32,4124.6900000000005,2,5,5,At Risk
12571.0,82,2,519.61,3,2,3,Regular
12572.0,43,2,1020.4200000000001,3,2,4,Regular
12573.0,0,1,160.54,5,1,1,Regular
12574.0,0,1,218.45000000000002,5,1,1,Regular
12576.0,269,5,1315.83,2,4,4,At Risk
12577.0,324,3,657.8,1,3,3,At Risk
12578.0,309,2,2794.51,1,2,5,Regular
12579.0,0,1,440.42,5,1,2,Regular
12580.0,0,1,415.7,5,1,2,Regular
12581.0,0,1,197.71,5,1,1,Regular
12582.0,50,2,511.36,3,2,3,Regular
12583.0,371,15,7281.38,1,5,5,At Risk
12584.0,277,9,2338.15,2,5,5,At Risk
12585.0,117,2,2040.1,3,2,4,Regular
12586.0,0,1,196.94,5,1,1,Regular
12587.0,0,1,144.0,5,1,1,Regular
12588.0,0,1,214.9,5,1,1,Regular
12589.0,116,2,646.68,3,2,3,Regular
12590.0,0,2,9864.26,5,2,5,Regular
12591.0,0,1,452.85,5,1,2,Regular
12592.0,121,2,437.6,3,2,2,Regular
12593.0,110,3,418.1,3,3,2,Regular
12594.0,285,10,3338.2200000000003,1,5,5,At Risk
12596.0,191,2,618.27,2,2,3,Regular
12597.0,249,4,3811.22,2,4,5,At Risk
12598.0,275,8,3023.08,2,5,5,At Risk
12599.0,275,7,1032.58,2,5,4,At Risk
12600.0,343,10,2599.04,1,5,5,At Risk
12601.0,143,5,577.0600000000001,3,4,3,Regular
12602.0,0,1,153.12,5,1,1,Regular
12603.0,0,1,739.1999999999999,5,1,3,Regular
12604.0,182,2,254.18,2,2,2,Regular
12607.0,0,1,1579.51,5,1,4,Regular
12609.0,240,3,1126.85,2,3,4,At Risk
12610.0,104,5,2099.54,3,4,5,Regular
12611.0,0,1,1193.32,5,1,4,Regular
12612.0,0,1,704.04,5,1,3,Regular
12613.0,205,5,3344.38,2,4,5,At Risk
12614.0,0,1,315.6,5,1,2,Regular
12615.0,166,4,2291.19,2,4,5,At Risk
12616.0,202,2,713.3,2,2,3,Regular
12617.0,0,1,355.53,5,1,2,Regular
12618.0,0,1,177.31,5,1,1,Regular
12619.0,237,9,3641.24,2,5,5,At Risk
12620.0,190,3,1339.41,2,3,4,At Risk
12621.0,364,20,13689.67,1,5,5,At Risk
12622.0,0,1,180.1,5,1,1,Regular
12623.0,0,1,305.1,5,1,2,Regular
12624.0,71,2,641.13,3,2,3,Regular
12625.0,108,2,2683.82,3,2,5,Regular
12626.0,303,9,6620.4800000000005,1,5,5,At Risk
12627.0,130,7,4478.53,3,5,5,Regular
12628.0,60,3,786.46,3,3,3,Regular
12630.0,34,2,1270.88,3,2,4,Regular
12631.0,0,1,640.5,5,1,3,Regular
12633.0,229,4,2163.98,2,4,5,At Risk
12635.0,65,2,1689.18,3,2,4,Regular
12637.0,256,8,6021.9,2,5,5,At Risk
12638.0,0,1,671.6899999999999,5,1,3,Regular
12639.0,0,1,486.1,5,1,2,Regular
12640.0,58,3,1174.58,3,3,4,Regular
12641.0,0,1,185.9,5,1,1,Regular
12642.0,82,3,1013.26,3,3,4,Regular
12643.0,204,6,3344.64,2,5,5,At Risk
12644.0,0,1,477.90999999999997,5,1,2,Regular
12645.0,283,4,1775.18,1,4,4,At Risk
12646.0,45,2,1346.97,3,2,4,Regular
12647.0,347,12,3722.82,1,5,5,At Risk
12648.0,0,1,318.05,5,1,2,Regular
12649.0,105,3,623.51,3,3,3,Regular
12650.0,0,1,314.44,5,1,2,Regular
12651.0,0,1,114.0,5,1,1,Regular
12652.0,0,1,919.98,5,1,3,Regular
12653.0,148,2,2209.85,3,2,5,Regular
12654.0,285,5,601.98,1,4,3,At Risk
12656.0,216,5,4051.17,2,4,5,At Risk
12657.0,67,4,1643.18,3,4,4,Regular
12658.0,0,1,686.05,5,1,3,Regular
12659.0,0,1,91.67999999999999,5,1,1,Regular
12660.0,0,1,245.10000000000002,5,1,1,Regular
12662.0,373,11,3849.78,1,5,5,At Risk
12664.0,314,9,4881.88,1,5,5,At Risk
12665.0,0,1,63.0,5,1,1,Regular
12667.0,0,1,620.13,5,1,3,Regular
12668.0,344,4,3807.15,1,4,5,At Risk
12669.0,106,3,2744.0299999999997,3,3,5,Regular
12670.0,222,5,2996.05,2,4,5,At Risk
12672.0,0,1,225.9,5,1,1,Regular
12673.0,321,2,610.52,1,2,3,Regular
12674.0,169,4,1970.6,2,4,4,At Risk
12676.0,287,6,1331.39,1,5,4,At Risk
12678.0,311,12,17628.46,1,5,5,At Risk
12679.0,225,4,1113.02,2,4,4,At Risk
12680.0,113,4,862.81,3,4,3,Regular
12681.0,353,22,13787.54,1,5,5,At Risk
12682.0,368,31,12288.22,1,5,5,At Risk
12683.0,361,15,8476.57,1,5,5,At Risk
12684.0,206,7,2283.63,2,5,5,At Risk
12685.0,65,6,2863.08,3,5,5,Regular
12686.0,0,1,89.14,5,1,1,Regular
12688.0,0,1,4873.81,5,1,5,Regular
12689.0,102,2,1247.61,3,2,4,Regular
12690.0,0,1,389.01,5,1,2,Regular
12691.0,329,6,1035.8,1,5,4,At Risk
12693.0,192,4,855.91,2,4,3,At Risk
12694.0,113,2,869.67,3,2,3,Regular
12695.0,203,4,582.1,2,4,3,At Risk
12697.0,141,3,957.59,3,3,4,Regular
12700.0,208,4,4939.99,2,4,5,At Risk
12701.0,163,2,797.71,3,2,3,Regular
12702.0,0,1,219.0,5,1,1,Regular
12703.0,0,1,283.55,5,1,2,Regular
12704.0,162,8,2340.84,3,5,5,Regular
12705.0,342,9,6868.29,1,5,5,At Risk
12707.0,0,1,603.42,5,1,3,Regular
12708.0,339,10,2712.91,1,5,5,At Risk
12709.0,351,15,9736.52,1,5,5,At Risk
12710.0,105,3,1149.02,3,3,4,Regular
12712.0,343,13,4396.13,1,5,5,At Risk
12713.0,0,1,848.55,5,1,3,Regular
12714.0,285,5,4708.86,1,4,5,At Risk
12715.0,0,1,353.86,5,1,2,Regular
12716.0,130,2,1053.49,3,2,4,Regular
12717.0,94,2,1030.98,3,2,4,Regular
12718.0,0,1,238.25,5,1,1,Regular
12719.0,60,2,644.95,3,2,3,Regular
12720.0,367,25,5781.73,1,5,5,At Risk
12721.0,323,6,2656.13,1,5,5,At Risk
12722.0,65,4,997.63,3,4,4,Regular
12723.0,62,5,725.07,3,4,3,Regular
12724.0,327,4,1031.41,1,4,4,At Risk
12725.0,0,1,427.8,5,1,2,Regular
12726.0,329,7,2609.1,1,5,5,At Risk
12727.0,310,7,3980.7,1,5,5,At Risk
12728.0,261,4,836.33,2,4,3,At Risk
12729.0,0,1,453.01,5,1,2,Regular
12731.0,341,12,18895.91,1,5,5,At Risk
12732.0,0,1,236.26000000000002,5,1,1,Regular
12733.0,0,1,383.95,5,1,2,Regular
12734.0,0,1,110.39999999999999,5,1,1,Regular
12735.0,22,2,779.5699999999999,4,2,3,Regular
12736.0,0,1,234.0,5,1,1,Regular
12738.0,0,1,155.35,5,1,1,Regular
12739.0,21,2,1013.04,4,2,4,Regular
12740.0,0,1,427.6,5,1,2,Regular
12743.0,0,2,546.43,5,2,3,Regular
12744.0,267,7,21279.29,2,5,5,At Risk
12747.0,367,11,4196.01,1,5,5,At Risk
12748.0,373,209,33719.73,1,5,5,At Risk
12749.0,210,5,4090.88,2,4,5,At Risk
12750.0,0,1,275.88,5,1,2,Regular
12752.0,0,1,4366.78,5,1,5,Regular
12753.0,340,6,21429.39,1,5,5,At Risk
12754.0,73,3,3010.7400000000002,3,3,5,Regular
12755.0,85,2,3811.9500000000003,3,2,5,Regular
12756.0,0,1,112.08,5,1,1,Regular
12757.0,196,13,7857.1,2,5,5,At Risk
12758.0,160,2,2791.59,3,2,5,Regular
12759.0,223,3,1531.44,2,3,4,At Risk
12762.0,18,2,1898.52,4,2,4,Regular
12763.0,231,2,494.08,2,2,3,Regular
12764.0,0,1,1693.88,5,1,4,Regular
12766.0,363,7,6989.63,1,5,5,At Risk
12769.0,0,1,1143.6,5,1,4,Regular
12770.0,0,1,1351.45,5,1,4,Regular
12772.0,0,1,892.47,5,1,3,Regular
12775.0,294,5,1386.04,1,4,4,At Risk
12778.0,293,6,822.23,1,5,3,At Risk
12779.0,334,8,3981.36,1,5,5,At Risk
12781.0,221,2,826.74,2,2,3,Regular
12782.0,353,5,2330.92,1,4,5,At Risk
12783.0,73,6,2225.91,3,5,5,Regular
12784.0,6,2,574.42,4,2,3,Regular
12785.0,0,1,311.95,5,1,2,Regular
12787.0,183,3,463.66,2,3,2,At Risk
12789.0,0,1,91.85,5,1,1,Regular
12790.0,0,1,324.92,5,1,2,Regular
12791.0,0,1,192.60000000000002,5,1,1,Regular
12792.0,0,1,400.54,5,1,2,Regular
12793.0,37,2,545.48,3,2,3,Regular
12794.0,45,2,860.41,3,2,3,Regular
12795.0,0,1,430.48,5,1,2,Regular
12797.0,0,1,254.03,5,1,2,Regular
12798.0,160,3,6977.04,3,3,5,Regular
12802.0,0,1,427.58,5,1,2,Regular
12808.0,332,3,483.65000000000003,1,3,2,At Risk
12809.0,0,1,489.31,5,1,2,Regular
12811.0,24,3,514.85,4,3,3,Loyal
12812.0,0,1,229.64000000000001,5,1,1,Regular
12814.0,0,1,125.92,5,1,1,Regular
12815.0,51,2,1063.46,3,2,4,Regular
12816.0,81,2,572.2,3,2,3,Regular
12817.0,0,1,166.04000000000002,5,1,1,Regular
12818.0,0,1,1542.0800000000002,5,1,4,Regular
12820.0,323,4,942.34,1,4,4,At Risk
12821.0,0,1,92.72,5,1,1,Regular
12822.0,17,2,948.88,4,2,4,Regular
12823.0,222,5,1759.5,2,4,4,At Risk
12824.0,0,1,397.12,5,1,2,Regular
12826.0,363,7,1474.72,1,5,4,At Risk
12827.0,39,3,430.15,3,3,2,Regular
12828.0,128,6,1018.71,3,5,4,Regular
12829.0,24,2,293.0,4,2,2,Regular
12830.0,134,6,6814.64,3,5,5,Regular
12831.0,0,1,215.05,5,1,1,Regular
12832.0,66,2,383.03000000000003,3,2,2,Regular
12833.0,0,1,417.38,5,1,2,Regular
12834.0,0,1,312.38,5,1,2,Regular
12836.0,252,4,2612.86,2,4,5,At Risk
12837.0,0,1,134.1,5,1,1,Regular
12838.0,340,2,683.13,1,2,3,Regular
12839.0,365,14,5591.42,1,5,5,At Risk
12840.0,83,4,2726.77,3,4,5,Regular
12841.0,367,25,4022.35,1,5,5,At Risk
12842.0,238,2,1118.99,2,2,4,Regular
12843.0,199,8,1702.26,2,5,4,At Risk
12844.0,101,2,325.96000000000004,3,2,2,Regular
12845.0,23,4,354.09000000000003,4,4,2,Loyal
12847.0,0,1,871.54,5,1,3,Regular
12849.0,237,2,1050.8899999999999,2,2,4,Regular
12851.0,0,1,135.18,5,1,1,Regular
12852.0,0,1,311.55,5,1,2,Regular
12853.0,181,6,1957.1000000000001,2,5,4,At Risk
12854.0,240,3,1324.5,2,3,4,At Risk
12855.0,0,1,38.1,5,1,1,Regular
12856.0,56,6,2179.93,3,5,5,Regular
12857.0,92,2,1106.4,3,2,4,Regular
12863.0,0,1,521.2,5,1,3,Regular
12864.0,0,1,147.12,5,1,1,Regular
12865.0,97,2,1568.23,3,2,4,Regular
12866.0,0,1,559.12,5,1,3,Regular
12867.0,334,7,4036.82,1,5,5,At Risk
12868.0,188,6,1607.0600000000002,2,5,4,At Risk
12871.0,123,2,380.64,3,2,2,Regular
12872.0,39,2,599.97,3,2,3,Regular
12873.0,0,1,374.0,5,1,2,Regular
12875.0,219,2,343.2300000000001,2,2,2,Regular
12876.0,139,2,2218.02,3,2,5,Regular
12877.0,355,12,1535.77,1,5,4,At Risk
12878.0,30,2,854.99,3,2,3,Regular
12879.0,47,3,573.22,3,3,3,Regular
12881.0,0,1,298.0,5,1,2,Regular
12882.0,24,2,1463.04,4,2,4,Regular
12883.0,65,4,703.47,3,4,3,Regular
12884.0,0,1,309.05,5,1,2,Regular
12885.0,60,3,1175.22,3,3,4,Regular
12886.0,152,2,1378.4,3,2,4,Regular
12888.0,41,2,354.12,3,2,2,Regular
12890.0,0,1,380.46999999999997,5,1,2,Regular
12891.0,107,3,331.0,3,3,2,Regular
12893.0,0,1,188.14,5,1,1,Regular
12895.0,44,2,372.8,3,2,2,Regular
12897.0,97,2,216.5,3,2,1,Regular
12901.0,262,28,17654.54,2,5,5,At Risk
12902.0,0,1,138.68,5,1,1,Regular
12904.0,154,2,509.58,3,2,3,Regular
12906.0,67,5,2919.81,3,4,5,Regular
12908.0,136,2,750.0,3,2,3,Regular
12909.0,214,5,2178.67,2,4,5,At Risk
12910.0,218,8,3075.04,2,5,5,At Risk
12912.0,38,5,1662.3,3,4,4,Regular
12913.0,364,5,2483.63,1,4,5,At Risk
12915.0,224,2,363.65,2,2,2,Regular
12916.0,182,4,3006.15,2,4,5,At Risk
12917.0,0,1,594.0,5,1,3,Regular
12919.0,161,6,1335.19,3,5,4,Regular
12920.0,0,1,164.23,5,1,1,Regular
12921.0,364,37,16587.09,1,5,5,At Risk
12922.0,0,1,405.38,5,1,2,Regular
12923.0,0,1,176.97,5,1,1,Regular
12924.0,239,4,933.7,2,4,3,At Risk
12925.0,70,2,694.05,3,2,3,Regular
12928.0,324,5,2062.7,1,4,5,At Risk
12929.0,0,1,117.85,5,1,1,Regular
12930.0,93,2,415.8,3,2,2,Regular
12931.0,336,15,42055.96,1,5,5,At Risk
12933.0,259,3,607.53,2,3,3,At Risk
12935.0,317,7,2160.7,1,5,5,At Risk
12936.0,61,4,1063.9,3,4,4,Regular
12937.0,252,4,1504.27,2,4,4,At Risk
12938.0,0,1,114.14,5,1,1,Regular
12939.0,270,8,11581.8,2,5,5,At Risk
12940.0,33,2,913.54,3,2,3,Regular
12942.0,234,3,683.9,2,3,3,At Risk
12944.0,319,2,604.51,1,2,3,Regular
12945.0,0,1,462.95,5,1,2,Regular
12947.0,230,6,1603.99,2,5,4,At Risk
12948.0,248,7,2064.95,2,5,5,At Risk
12949.0,222,8,4167.22,2,5,5,At Risk
12950.0,22,3,1843.0,4,3,4,Loyal
12951.0,322,6,1064.07,1,5,4,At Risk
12952.0,73,4,1387.79,3,4,4,Regular
12953.0,0,1,329.85,5,1,2,Regular
12955.0,266,11,4757.16,2,5,5,At Risk
12956.0,0,1,108.07,5,1,1,Regular
12957.0,330,8,4017.54,1,5,5,At Risk
12962.0,106,2,266.39,3,2,2,Regular
12963.0,357,8,1856.63,1,5,4,At Risk
12965.0,0,1,771.91,5,1,3,Regular
12966.0,0,1,160.18,5,1,1,Regular
12967.0,13,2,1660.9,4,2,4,Regular
12968.0,0,1,135.95,5,1,1,Regular
12970.0,315,4,452.24,1,4,2,At Risk
12971.0,369,86,11189.91,1,5,5,At Risk
12974.0,0,1,144.8,5,1,1,Regular
12976.0,0,1,738.6,5,1,3,Regular
12977.0,0,1,39.24,5,1,1,Regular
12980.0,201,9,7374.900000000001,2,5,5,At Risk
12981.0,104,2,372.21999999999997,3,2,2,Regular
12982.0,0,1,390.53999999999996,5,1,2,Regular
12984.0,0,1,97.5,5,1,1,Regular
12985.0,28,2,1239.38,4,2,4,Regular
12987.0,124,2,558.7,3,2,3,Regular
12988.0,0,1,535.32,5,1,3,Regular
12989.0,361,15,6924.11,1,5,5,At Risk
12990.0,279,3,409.5,1,3,2,At Risk
12991.0,89,2,503.76,3,2,3,Regular
12993.0,275,4,414.76,2,4,2,At Risk
12994.0,264,3,974.42,2,3,4,At Risk
12995.0,0,1,211.32,5,1,1,Regular
12997.0,295,4,1226.89,1,4,4,At Risk
12999.0,49,3,455.88,3,3,2,Regular
13000.0,258,3,534.85,2,3,3,At Risk
13001.0,322,13,9818.82,1,5,5,At Risk
13002.0,0,1,120.95,5,1,1,Regular
13003.0,109,3,149.05,3,3,1,Regular
13004.0,346,18,5655.91,1,5,5,At Risk
13005.0,73,2,513.7,3,2,3,Regular
13006.0,0,1,81.57,5,1,1,Regular
13008.0,0,1,229.47,5,1,1,Regular
13011.0,0,1,50.550000000000004,5,1,1,Regular
13012.0,285,8,1661.8400000000001,1,5,4,At Risk
13013.0,370,13,4810.9400000000005,1,5,5,At Risk
13014.0,271,10,3466.28,2,5,5,At Risk
13015.0,196,5,3346.28,2,4,5,At Risk
13016.0,50,3,789.89,3,3,3,Regular
13017.0,0,1,204.0,5,1,1,Regular
13018.0,279,28,7277.7,1,5,5,At Risk
13021.0,354,9,2616.38,1,5,5,At Risk
13023.0,65,2,689.9,3,2,3,Regular
13026.0,274,5,975.36,2,4,4,At Risk
13027.0,241,6,6912.0,2,5,5,At Risk
13028.0,23,2,661.3199999999999,4,2,3,Regular
13029.0,323,3,1247.5,1,3,4,At Risk
13030.0,357,2,799.48,1,2,3,Regular
13032.0,35,2,1010.1800000000001,3,2,4,Regular
13033.0,0,1,190.55,5,1,1,Regular
13034.0,315,2,642.77,1,2,3,Regular
13035.0,187,2,921.88,2,2,3,Regular
13037.0,118,3,881.07,3,3,3,Regular
13038.0,210,3,908.46,2,3,3,At Risk
13040.0,25,2,676.99,4,2,3,Regular
13043.0,0,1,516.42,5,1,3,Regular
13044.0,0,1,560.47,5,1,3,Regular
13045.0,0,1,305.28000000000003,5,1,2,Regular
13046.0,236,2,629.31,2,2,3,Regular
13047.0,342,10,3237.54,1,5,5,At Risk
13048.0,313,4,1835.91,1,4,4,At Risk
13049.0,254,2,656.6800000000001,2,2,3,Regular
13050.0,352,17,5836.86,1,5,5,At Risk
13052.0,0,1,348.15000000000003,5,1,2,Regular
13055.0,135,3,1214.41,3,3,4,Regular
13058.0,127,3,271.40000000000003,3,3,2,Regular
13059.0,0,1,183.4,5,1,1,Regular
13060.0,0,1,307.53000000000003,5,1,2,Regular
13061.0,0,1,248.61,5,1,1,Regular
13062.0,0,1,346.98,5,1,2,Regular
13064.0,315,4,1119.49,1,4,4,At Risk
13065.0,0,1,205.86,5,1,1,Regular
13066.0,8,2,470.8,4,2,2,Regular
13067.0,0,1,115.46000000000001,5,1,1,Regular
13068.0,309,2,344.0,1,2,2,Regular
13069.0,369,24,4436.12,1,5,5,At Risk
13070.0,0,1,228.8,5,1,1,Regular
13072.0,0,1,177.15,5,1,1,Regular
13075.0,0,1,919.61,5,1,3,Regular
13077.0,365,4,729.27,1,4,3,At Risk
13078.0,363,26,12627.94,1,5,5,At Risk
13079.0,136,5,220.10000000000002,3,4,1,Regular
13080.0,0,1,58.08,5,1,1,Regular
13081.0,360,11,28337.38,1,5,5,At Risk
13082.0,212,9,3613.63,2,5,5,At Risk
13083.0,71,2,303.75,3,2,2,Regular
13085.0,138,2,416.08,3,2,2,Regular
13089.0,367,97,58825.83,1,5,5,At Risk
13090.0,364,14,8910.82,1,5,5,At Risk
13091.0,0,1,345.82,5,1,2,Regular
13092.0,289,5,477.83,1,4,2,At Risk
13093.0,98,8,7832.47,3,5,5,Regular
13094.0,347,12,1927.3200000000002,1,5,4,At Risk
13095.0,0,1,74.39999999999999,5,1,1,Regular
13097.0,328,10,6010.42,1,5,5,At Risk
13098.0,316,28,28882.44,1,5,5,At Risk
13099.0,0,1,207.36,5,1,1,Regular
